iter	RMSE
0	0.6635376938
1	0.651095088
2	0.6396480338
3	0.6283232427
4	0.6174606049
5	0.6070231372
6	0.5966908505
7	0.5863309523
8	0.5760448199
9	0.5661760468
10	0.5565625387
11	0.5471988217
12	0.5380970103
13	0.5292922065
14	0.5207195928
15	0.5121956286
16	0.5039060756
17	0.4959868483
18	0.4884074747
19	0.4809727082
20	0.4739724526
21	0.4667767699
22	0.4599995567
23	0.4533193459
24	0.4469652764
25	0.4406516804
26	0.4349707598
27	0.4294075819
28	0.4238898244
29	0.4182982352
30	0.4128715961
31	0.4082288512
32	0.4028401576
33	0.3978147751
34	0.3934485356
35	0.3886972252
36	0.3839232788
37	0.3793630698
38	0.3751682673
39	0.3716824821
40	0.3674516296
41	0.3632060864
42	0.3595402987
43	0.3556053894
44	0.3520142137
45	0.3486566801
46	0.3451837038
47	0.3416442168
48	0.3384065304
49	0.3352743964
50	0.3320777098
51	0.3288860235
52	0.3257824126
53	0.3233732195
54	0.3205919665
55	0.3172499793
56	0.3144247074
57	0.3108477872
58	0.3077765427
59	0.3046883264
60	0.3017805636
61	0.2989649456
62	0.2958394193
63	0.2928004237
64	0.2901691876
65	0.287467353
66	0.2855201137
67	0.2830151862
68	0.2800930935
69	0.2776104972
70	0.2752067196
71	0.2728151376
72	0.270521985
73	0.2683285061
74	0.2660692427
75	0.2637837445
76	0.2614912381
77	0.2594828262
78	0.2573678325
79	0.2554698722
80	0.2537909823
81	0.2520281171
82	0.2504068328
83	0.2487784186
84	0.2470848654
85	0.2454356368
86	0.2439424876
87	0.2423494916
88	0.2408290877
89	0.2395868201
90	0.2380563751
91	0.2367729915
92	0.2352878554
93	0.2337851713
94	0.2323414714
95	0.2309213995
96	0.2293215778
97	0.2278399973
98	0.2262754115
99	0.2249109772
100	0.2236008746
101	0.2224075517
102	0.2211272029
103	0.2200630847
104	0.2188516835
105	0.2177954744
106	0.2168254784
107	0.2157939251
108	0.2150175584
109	0.2141421385
110	0.2128459632
111	0.2117752147
112	0.2108995409
113	0.2098986344
114	0.2088903393
115	0.2078284964
116	0.2064852978
117	0.2055163604
118	0.2044010132
119	0.2036411774
120	0.2027443015
121	0.2020454239
122	0.2009409146
123	0.200078934
124	0.1990816838
125	0.1984016016
126	0.1978306122
127	0.1972262494
128	0.1966428081
129	0.1960231487
130	0.1952878559
131	0.1946597686
132	0.194042447
133	0.1933672816
134	0.1922953449
135	0.1911611743
136	0.190220199
137	0.1893178993
138	0.1883951038
139	0.1872690038
140	0.1860758088
141	0.1851723855
142	0.1840819734
143	0.1833138542
144	0.1825466507
145	0.1814599504
146	0.180632319
147	0.1794725137
148	0.1786041501
149	0.1776734621
150	0.1771243749
151	0.1764365228
152	0.1756453545
153	0.1750274271
154	0.1743693272
155	0.1737597765
156	0.1728485428
157	0.1719920346
158	0.1712914964
159	0.1709836993
160	0.1702541621
161	0.1698228651
162	0.1692378937
163	0.1685625524
164	0.167938381
165	0.1670893926
166	0.1667348384
167	0.1663211175
168	0.1655838661
169	0.1650472298
170	0.1646609839
171	0.1642406879
172	0.1637886408
173	0.1632574929
174	0.1628665428
175	0.1622579104
176	0.161681159
177	0.1611964056
178	0.1609212445
179	0.1604656944
180	0.1600167849
181	0.1595121116
182	0.1588764187
183	0.158408091
