iter	Passed	Remaining
0	65	325076
1	130	326961
2	185	309529
3	242	302777
4	295	294891
5	353	294010
6	409	291996
7	460	287208
8	516	286187
9	574	286664
10	633	287191
11	687	285702
12	747	286776
13	781	278338
14	815	270894
15	871	271595
16	926	271666
17	982	272059
18	1044	273799
19	1105	275333
20	1161	275442
21	1217	275417
22	1279	276833
23	1335	276959
24	1395	277667
25	1452	277926
26	1517	279418
27	1576	280024
28	1611	276267
29	1668	276485
30	1726	276803
31	1787	277496
32	1844	277580
33	1897	277103
34	1955	277357
35	2017	278147
36	2071	277795
37	2127	277866
38	2185	277972
39	2242	278083
40	2302	278487
41	2354	277926
42	2409	277732
43	2434	274222
44	2497	275014
45	2552	274856
46	2607	274783
47	2657	274124
48	2717	274580
49	2771	274344
50	2826	274307
51	2842	270516
52	2900	270737
53	2944	269681
54	3000	269785
55	3053	269548
56	3104	269230
57	3158	269099
58	3210	268843
59	3266	268971
60	3325	269245
61	3383	269490
62	3442	269801
63	3499	269910
64	3555	269978
65	3609	269856
66	3666	269924
67	3724	270166
68	3783	270390
69	3840	270498
70	3899	270714
71	3960	271082
72	4020	271385
73	4073	271194
74	4131	271319
75	4188	271395
76	4243	271279
77	4296	271148
78	4351	271041
79	4407	271041
80	4465	271203
81	4524	271370
82	4576	271142
83	4632	271103
84	4687	271060
85	4743	271038
86	4800	271113
87	4854	270994
88	4915	271232
89	4968	271066
90	5020	270823
91	5081	271080
92	5136	271002
93	5193	271034
94	5252	271206
95	5304	270965
96	5365	271203
97	5423	271284
98	5483	271471
99	5539	271428
100	5599	271627
101	5658	271726
102	5716	271765
103	5773	271778
104	5828	271737
105	5887	271831
106	5944	271840
107	6002	271881
108	6057	271795
109	6115	271843
110	6174	271937
111	6228	271812
112	6291	272087
113	6350	272178
114	6407	272164
115	6466	272273
116	6524	272305
117	6583	272374
118	6640	272392
119	6698	272404
120	6756	272455
121	6815	272509
122	6869	272383
123	6927	272425
124	6984	272404
125	7039	272308
126	7100	272440
127	7157	272441
128	7217	272519
129	7276	272584
130	7331	272488
131	7386	272410
132	7441	272322
133	7499	272337
134	7557	272342
135	7614	272338
136	7672	272333
137	7728	272303
138	7789	272420
139	7846	272374
140	7904	272393
141	7960	272344
142	8021	272455
143	8079	272459
144	8134	272368
145	8192	272367
146	8249	272353
147	8311	272472
148	8366	272376
149	8425	272408
150	8481	272356
151	8542	272476
152	8598	272382
153	8658	272456
154	8720	272571
155	8778	272595
156	8838	272634
157	8893	272538
158	8949	272490
159	9011	272585
160	9065	272464
161	9126	272559
162	9178	272378
163	9236	272353
164	9296	272420
165	9352	272354
166	9407	272242
167	9459	272072
168	9518	272096
169	9572	271975
170	9632	272007
171	9692	272060
172	9752	272118
173	9809	272072
174	9863	271958
175	9918	271861
176	9973	271771
177	10029	271705
178	10083	271586
179	10139	271518
180	10198	271527
181	10260	271608
182	10319	271625
183	10375	271556
184	10434	271569
185	10490	271507
186	10547	271481
187	10605	271465
188	10663	271437
189	10724	271497
190	10779	271394
191	10835	271328
192	10895	271377
193	10951	271303
194	11005	271187
195	11064	271204
196	11122	271177
197	11181	271167
198	11239	271170
199	11292	271009
200	11352	271056
201	11412	271080
202	11468	271006
203	11523	270911
204	11584	270963
205	11646	271043
206	11695	270814
207	11754	270805
208	11813	270796
209	11874	270847
210	11930	270772
211	11989	270777
212	12046	270732
213	12105	270737
214	12162	270692
215	12222	270714
216	12283	270738
217	12340	270709
218	12406	270839
219	12460	270730
220	12521	270760
221	12615	271523
222	12674	271501
223	12734	271518
224	12792	271478
225	12853	271506
226	12910	271456
227	12967	271408
228	13024	271344
229	13084	271355
230	13140	271290
231	13199	271281
232	13256	271226
233	13316	271216
234	13379	271294
235	13435	271222
236	13493	271171
237	13548	271079
238	13609	271106
239	13667	271077
240	13729	271120
241	13788	271100
242	13849	271120
243	13907	271081
244	13969	271121
245	14026	271073
246	14083	271012
247	14146	271062
248	14209	271128
249	14269	271115
250	14323	271008
251	14380	270950
252	14441	270957
253	14495	270857
254	14560	270939
255	14617	270872
256	14671	270774
257	14730	270753
258	14789	270726
259	14848	270694
260	14906	270657
261	14969	270711
262	15025	270623
263	15090	270722
264	15155	270803
265	15221	270897
266	15281	270895
267	15337	270801
268	15391	270688
269	15446	270602
270	15504	270556
271	15567	270599
272	15600	270126
273	15655	270033
274	15718	270080
275	15780	270094
276	15841	270100
277	15904	270155
278	15965	270150
279	15974	269287
280	16034	269279
281	16090	269204
282	16144	269093
283	16203	269077
284	16259	268988
285	16314	268901
286	16375	268918
287	16436	268925
288	16496	268904
289	16553	268844
290	16609	268774
291	16666	268718
292	16724	268676
293	16781	268623
294	16841	268605
295	16898	268542
296	16954	268478
297	17009	268384
298	17066	268328
299	17122	268258
300	17180	268202
301	17242	268231
302	17298	268161
303	17353	268061
304	17411	268021
305	17469	267984
306	17523	267880
307	17579	267807
308	17642	267827
309	17696	267730
310	17752	267661
311	17760	266870
312	17818	266824
313	17879	266818
314	17939	266819
315	18000	266811
316	18059	266788
317	18118	266761
318	18180	266779
319	18247	266866
320	18269	266297
321	18324	266213
322	18380	266151
323	18436	266076
324	18451	265414
325	18505	265324
326	18563	265276
327	18618	265204
328	18679	265198
329	18735	265129
330	18786	264995
331	18847	264994
332	18907	264992
333	18963	264915
334	19024	264926
335	19081	264873
336	19143	264883
337	19202	264859
338	19260	264813
339	19319	264792
340	19373	264697
341	19425	264578
342	19485	264564
343	19545	264543
344	19601	264481
345	19659	264434
346	19710	264301
347	19763	264191
348	19818	264115
349	19875	264056
350	19931	263994
351	19988	263945
352	20050	263955
353	20111	263944
354	20119	263252
355	20175	263186
356	20234	263155
357	20286	263042
358	20347	263045
359	20404	262988
360	20461	262945
361	20518	262891
362	20534	262304
363	20594	262299
364	20602	261627
365	20661	261598
366	20719	261566
367	20777	261521
368	20830	261429
369	20839	260770
370	20894	260705
371	20950	260637
372	21004	260560
373	21060	260501
374	21114	260406
375	21170	260352
376	21226	260289
377	21286	260280
378	21345	260257
379	21403	260226
380	21457	260135
381	21513	260073
382	21569	260014
383	21629	260005
384	21689	259990
385	21746	259941
386	21806	259930
387	21862	259874
388	21919	259821
389	21976	259772
390	22033	259724
391	22090	259680
392	22099	259058
393	22156	259018
394	22214	258976
395	22265	258868
396	22323	258827
397	22383	258813
398	22439	258752
399	22498	258733
400	22553	258666
401	22613	258645
402	22667	258565
403	22723	258509
404	22780	258461
405	22836	258400
406	22892	258338
407	22948	258286
408	23003	258216
409	23066	258229
410	23122	258173
411	23183	258166
412	23253	258263
413	23335	258491
414	23350	257981
415	23409	257957
416	23466	257905
417	23525	257884
418	23588	257892
419	23644	257839
420	23700	257779
421	23760	257762
422	23822	257772
423	23881	257736
424	23942	257732
425	23999	257689
426	24061	257690
427	24115	257608
428	24176	257605
429	24236	257586
430	24300	257603
431	24355	257534
432	24412	257491
433	24468	257423
434	24483	256933
435	24538	256861
436	24563	256487
437	24614	256378
438	24674	256359
439	24734	256337
440	24786	256243
441	24841	256168
442	24902	256160
443	24957	256091
444	25012	256028
445	25069	255983
446	25123	255904
447	25180	255855
448	25236	255796
449	25289	255704
450	25340	255593
451	25394	255521
452	25449	255447
453	25465	254987
454	25522	254941
455	25578	254890
456	25636	254854
457	25700	254875
458	25714	254402
459	25767	254314
460	25821	254240
461	25878	254196
462	25934	254137
463	25987	254050
464	26041	253976
465	26100	253943
466	26155	253881
467	26215	253860
468	26272	253817
469	26291	253402
470	26350	253380
471	26407	253329
472	26463	253273
473	26523	253257
474	26575	253170
475	26632	253121
476	26688	253062
477	26744	253013
478	26800	252957
479	26857	252909
480	26916	252878
481	26972	252821
482	27030	252787
483	27088	252747
484	27140	252661
485	27201	252652
486	27258	252601
487	27316	252567
488	27376	252546
489	27430	252473
490	27484	252394
491	27536	252301
492	27598	252302
493	27653	252242
494	27710	252190
495	27767	252150
496	27828	252136
497	27887	252106
498	27943	252050
499	27994	251947
500	28050	251896
501	28106	251842
502	28163	251791
503	28220	251741
504	28277	251693
505	28295	251306
506	28352	251261
507	28407	251197
508	28459	251105
509	28517	251064
510	28572	250998
511	28627	250936
512	28684	250893
513	28744	250870
514	28801	250821
515	28857	250765
516	28914	250724
517	28974	250700
518	29027	250622
519	29086	250587
520	29142	250538
521	29198	250478
522	29255	250434
523	29314	250403
524	29370	250351
525	29434	250362
526	29488	250287
527	29547	250258
528	29607	250237
529	29666	250204
530	29721	250142
531	29782	250125
532	29843	250111
533	29898	250047
534	29957	250019
535	30011	249945
536	30068	249896
537	30125	249849
538	30186	249834
539	30246	249811
540	30271	249502
541	30320	249386
542	30375	249325
543	30429	249253
544	30492	249256
545	30551	249223
546	30607	249172
547	30668	249151
548	30727	249124
549	30782	249058
550	30836	248983
551	30857	248649
552	30917	248628
553	30975	248585
554	31033	248544
555	31090	248500
556	31142	248415
557	31200	248370
558	31258	248334
559	31320	248326
560	31380	248303
561	31440	248277
562	31496	248219
563	31555	248191
564	31612	248141
565	31677	248158
566	31717	247978
567	31774	247933
568	31827	247849
569	31883	247795
570	31944	247780
571	31998	247709
572	32060	247695
573	32116	247646
574	32174	247606
575	32238	247611
576	32298	247584
577	32356	247544
