feature,importance
GiaDat2019,86.97122558087585
district_word_count,4.910102857916346
QuanHuyen,3.0966006175345746
QuanHuyen_,2.509097253819471
Y,0.3756948410090433
Phường,0.23932145632488452
district_len,0.2080600690374371
fclass,0.2059793191444458
lat_abs,0.18704621327897794
xy_radius,0.18586616488027846
lon_abs,0.16547841367708174
xy_diff,0.16231357383115555
X,0.14691887026306727
xy_sum,0.13076527901764184
ref,0.12993680167224902
oneway,0.10717369732392641
maxspeed,0.08051424970015932
road_name_len,0.055640724247951655
bridge,0.03953789955801841
layer,0.03439596478459268
TenJoin,0.023924536318101448
road_name_word_count,0.02176999313448339
TenDuong,0.007914758254650014
TuDiem_2,0.002376648920348615
tunnel,0.0008387573756375637
DenDiem,0.0007085883158079895
TuDiem,0.0005594064886765006
DenDiem_2,0.00017880827108819847
TenDuong_2,5.865502402865881e-05
NamApDung,0.0
name,0.0
DiaChi,0.0
Phường_,0.0
