iter	Passed	Remaining
0	26	105531
1	60	121711
2	101	135220
3	142	142035
4	183	146321
5	223	148880
6	264	150670
7	304	151833
8	344	152833
9	383	153175
10	428	155387
11	468	155749
12	509	156317
13	549	156491
14	593	157557
15	637	158753
16	684	160316
17	729	161417
18	773	162053
19	826	164543
20	871	165179
21	915	165621
22	963	166614
23	1007	166949
24	1052	167294
25	1093	167077
26	1135	167136
27	1179	167309
28	1240	169840
29	1286	170232
30	1328	170074
31	1370	169999
32	1413	169861
33	1455	169748
34	1496	169501
35	1534	168954
36	1562	167328
37	1601	167014
38	1641	166708
39	1681	166432
40	1721	166233
41	1761	165984
42	1802	165832
43	1841	165607
44	1864	163879
45	1900	163392
46	1940	163248
47	1982	163225
48	2023	163134
49	2062	162969
50	2103	162870
51	2144	162816
52	2185	162760
53	2226	162668
54	2263	162371
55	2302	162195
56	2341	161957
57	2367	160940
58	2404	160630
59	2444	160541
60	2484	160401
61	2525	160409
62	2567	160447
63	2591	159347
64	2629	159182
65	2669	159114
66	2709	159064
67	2750	159025
68	2792	159076
69	2831	158945
70	2871	158910
71	2890	157707
72	2925	157364
73	2961	157143
74	3002	157116
75	3041	157055
76	3082	157059
77	3121	156948
78	3153	156495
79	3189	156291
80	3229	156255
81	3270	156267
82	3297	155629
83	3335	155486
84	3375	155488
85	3414	155393
86	3455	155396
87	3493	155290
88	3532	155223
89	3571	155164
90	3610	155077
91	3651	155101
92	3692	155108
93	3730	155012
94	3768	154922
95	3806	154802
96	3844	154675
97	3883	154642
98	3924	154648
99	3964	154596
100	4002	154506
101	4042	154482
102	4080	154373
103	4120	154364
104	4161	154378
105	4203	154426
106	4243	154391
107	4282	154333
108	4321	154274
109	4361	154228
110	4416	154744
111	4460	154847
112	4501	154840
113	4534	154574
114	4571	154431
115	4611	154421
116	4662	154746
117	4702	154698
118	4743	154700
119	4786	154777
120	4830	154846
121	4871	154835
122	4912	154832
123	4953	154831
124	4993	154800
125	5034	154784
126	5072	154696
127	5111	154635
128	5152	154602
129	5194	154629
130	5237	154681
131	5279	154716
132	5318	154637
133	5358	154596
134	5396	154505
135	5439	154538
136	5478	154466
137	5520	154480
138	5562	154521
139	5605	154548
140	5648	154583
141	5689	154591
142	5727	154494
143	5766	154424
144	5806	154368
145	5847	154355
146	5889	154379
147	5933	154422
148	5972	154367
149	6013	154353
150	6056	154370
151	6098	154378
152	6138	154343
153	6179	154339
154	6221	154332
155	6263	154336
156	6301	154254
157	6344	154276
158	6384	154233
159	6426	154241
160	6467	154225
161	6511	154256
162	6554	154281
163	6595	154262
164	6636	154244
165	6684	154396
166	6725	154361
167	6765	154323
168	6807	154315
169	6859	154541
170	6901	154535
171	6942	154517
172	6982	154473
173	7027	154525
174	7072	154578
175	7117	154637
176	7163	154718
177	7207	154768
178	7252	154824
179	7296	154843
180	7342	154932
181	7387	154983
182	7432	155017
183	7476	155052
184	7518	155052
185	7561	155048
186	7600	154980
187	7643	154981
188	7704	155349
189	7749	155387
190	7792	155399
191	7833	155360
192	7872	155291
193	7914	155272
194	7955	155236
195	7996	155206
196	8039	155197
197	8081	155174
198	8122	155135
199	8162	155090
200	8203	155051
201	8252	155155
202	8297	155196
203	8340	155191
204	8379	155119
205	8418	155051
206	8459	155004
207	8498	154938
208	8538	154875
209	8579	154836
210	8620	154794
211	8661	154754
212	8703	154738
213	8748	154775
214	8793	154800
215	8838	154845
216	8884	154892
217	8928	154903
218	8972	154909
219	9017	154940
220	9065	155018
221	9114	155107
222	9170	155316
223	9214	155329
224	9259	155360
225	9305	155398
226	9351	155438
227	9395	155441
228	9438	155424
229	9483	155446
230	9528	155469
231	9570	155442
